food,fat,hilo,available
lettucesalad.jpg,0,lo,1
melbatoastcrackers.jpg,0,lo,1
carrotsticks.jpg,0,lo,1
swedishfish.jpg,0,lo,1
tuna.jpg,0,lo,1
lollipops.jpg,0,lo,1
cucumber slices.jpg,0,lo,1
raisins.jpg,0,lo,1
sweetpotato.jpg,0,lo,1
pear.jpg,0,lo,1
Grapes.jpg,0,lo,1
broccoli cauliflower.jpg,0,lo,1
Skim milk.jpg,0,lo,1
orange slices.jpg,0,lo,1
grapefruit.jpg,0,lo,1
blueberries.jpg,0,lo,1
carrotsticks.jpg,0,lo,1
cherries.jpg,0,lo,1
popsicles.jpg,0,lo,1
apple slices.jpg,0,lo,1
banana.jpg,0,lo,1
green beans.jpg,0,lo,1
mango.jpg,0,lo,1
craisins.jpg,0,lo,1
cantaloupe.jpg,0,lo,1
cherry tomato.jpg,0,lo,1
doritos.jpg,1,hi,1
falafelwithpita.jpg,1,hi,1
mini muffins.jpg,1,hi,1
chicken nuggets2.jpg,1,hi,1
reeses.jpg,1,hi,1
trail mix.jpg,1,hi,1
Cheese nachos.jpg,1,hi,1
peanutbutterwithbanana.jpg,1,hi,1
trailmix.jpg,1,hi,1
potatochips.jpg,1,hi,1
baby cheese.jpg,1,hi,1
string cheese.jpg,1,hi,1
yellow popcorn.jpg,1,hi,1
eggs.jpg,1,hi,1
steak.jpg,1,hi,1
avacado.jpg,1,hi,1
salami.jpg,1,hi,1
fried eggs.jpg,1,hi,1
PB.jpg,1,hi,1
cheesecubes.jpg,1,hi,1
american cheese.jpg,1,hi,1
ice cream sundae 002.jpg,1,hi,1
veggieswithdip.jpg,1,hi,1
eggsalad.jpg,1,hi,1
Hershey Kisses.jpg,1,hi,1
grilled cheese.jpg,1,hi,1